CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.015  |  0.000  |  0.015  |  0.015  
  0.092  |  0.001  |  0.092  |  0.092  
  0.139  |  0.002  |  0.139  |  0.139  
  0.185  |  0.004  |  0.185  |  0.185  
  0.185  |  0.006  |  0.185  |  0.185  
  0.216  |  0.008  |  0.216  |  0.216  
  0.185  |  0.010  |  0.185  |  0.185  
  0.231  |  0.012  |  0.231  |  0.231  
  0.200  |  0.014  |  0.208  |  0.192  
  0.200  |  0.016  |  0.200  |  0.200  
  0.216  |  0.019  |  0.216  |  0.216  
  0.200  |  0.021  |  0.200  |  0.200  
  0.216  |  0.023  |  0.216  |  0.216  
  0.216  |  0.025  |  0.216  |  0.216  
  0.216  |  0.027  |  0.216  |  0.216  
  0.200  |  0.029  |  0.208  |  0.192  
  0.216  |  0.031  |  0.223  |  0.208  
  0.200  |  0.033  |  0.208  |  0.192  
  0.231  |  0.036  |  0.231  |  0.231  
  0.200  |  0.038  |  0.208  |  0.192  
  0.200  |  0.040  |  0.200  |  0.200  
  0.231  |  0.042  |  0.231  |  0.231  
  0.200  |  0.044  |  0.208  |  0.192  
  0.216  |  0.046  |  0.216  |  0.216  
  0.216  |  0.048  |  0.223  |  0.208  
  0.216  |  0.050  |  0.216  |  0.216  
  0.200  |  0.052  |  0.208  |  0.192  
  0.216  |  0.054  |  0.216  |  0.216  
  0.231  |  0.057  |  0.231  |  0.231  
  0.200  |  0.059  |  0.208  |  0.192  
  0.216  |  0.061  |  0.216  |  0.216  
  0.216  |  0.063  |  0.216  |  0.216  
  0.216  |  0.067  |  0.223  |  0.208  
  0.200  |  0.069  |  0.200  |  0.200  
  0.216  |  0.072  |  0.223  |  0.208  
  0.216  |  0.074  |  0.216  |  0.216  
  0.216  |  0.076  |  0.223  |  0.208  
  0.200  |  0.078  |  0.208  |  0.192  
  0.231  |  0.080  |  0.231  |  0.231  
  0.216  |  0.082  |  0.216  |  0.216  
  0.216  |  0.085  |  0.216  |  0.216  
  0.216  |  0.087  |  0.216  |  0.216  
  0.200  |  0.089  |  0.208  |  0.192  
  0.216  |  0.091  |  0.216  |  0.216  
  0.216  |  0.093  |  0.223  |  0.208  
  0.216  |  0.095  |  0.216  |  0.216  
  0.216  |  0.097  |  0.216  |  0.216  
  0.200  |  0.099  |  0.208  |  0.192  
  0.216  |  0.101  |  0.223  |  0.208  
  0.200  |  0.103  |  0.208  |  0.192  
  0.216  |  0.106  |  0.216  |  0.216  
  0.216  |  0.108  |  0.216  |  0.216  
  0.216  |  0.110  |  0.216  |  0.216  
  0.231  |  0.112  |  0.231  |  0.231  
  0.185  |  0.114  |  0.192  |  0.177  
  0.246  |  0.117  |  0.246  |  0.246  
  0.185  |  0.118  |  0.185  |  0.185  
  0.231  |  0.121  |  0.231  |  0.231  
  0.216  |  0.123  |  0.223  |  0.208  
