CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.169  |  0.002  |  0.162  |  0.177  
  0.277  |  0.005  |  0.277  |  0.277  
  0.308  |  0.008  |  0.308  |  0.308  
  0.339  |  0.011  |  0.346  |  0.331  
  0.323  |  0.015  |  0.323  |  0.323  
  0.308  |  0.018  |  0.316  |  0.300  
  0.354  |  0.021  |  0.354  |  0.354  
  0.339  |  0.025  |  0.346  |  0.331  
  0.323  |  0.028  |  0.331  |  0.316  
  0.339  |  0.031  |  0.346  |  0.331  
  0.323  |  0.034  |  0.323  |  0.323  
  0.354  |  0.038  |  0.362  |  0.346  
  0.292  |  0.041  |  0.285  |  0.300  
  0.354  |  0.044  |  0.354  |  0.354  
  0.308  |  0.048  |  0.316  |  0.300  
  0.354  |  0.051  |  0.354  |  0.354  
  0.323  |  0.054  |  0.331  |  0.316  
  0.354  |  0.058  |  0.354  |  0.354  
  0.308  |  0.061  |  0.316  |  0.300  
  0.339  |  0.064  |  0.339  |  0.339  
  0.339  |  0.068  |  0.339  |  0.339  
  0.339  |  0.071  |  0.346  |  0.331  
  0.339  |  0.075  |  0.339  |  0.339  
  0.308  |  0.078  |  0.308  |  0.308  
  0.354  |  0.081  |  0.354  |  0.354  
  0.308  |  0.084  |  0.316  |  0.300  
  0.339  |  0.088  |  0.346  |  0.331  
  0.339  |  0.091  |  0.339  |  0.339  
  0.323  |  0.094  |  0.323  |  0.323  
  0.339  |  0.098  |  0.339  |  0.339  
  0.339  |  0.101  |  0.339  |  0.339  
  0.339  |  0.104  |  0.339  |  0.339  
  0.323  |  0.108  |  0.331  |  0.316  
  0.323  |  0.114  |  0.316  |  0.331  
  0.339  |  0.117  |  0.346  |  0.331  
  0.323  |  0.121  |  0.331  |  0.316  
  0.339  |  0.124  |  0.346  |  0.331  
  0.339  |  0.127  |  0.331  |  0.346  
  0.323  |  0.131  |  0.323  |  0.323  
  0.339  |  0.134  |  0.346  |  0.331  
  0.323  |  0.137  |  0.323  |  0.323  
  0.339  |  0.141  |  0.346  |  0.331  
  0.339  |  0.144  |  0.339  |  0.339  
  0.339  |  0.147  |  0.346  |  0.331  
  0.323  |  0.151  |  0.323  |  0.323  
  0.339  |  0.154  |  0.346  |  0.331  
  0.323  |  0.157  |  0.323  |  0.323  
  0.339  |  0.161  |  0.339  |  0.339  
  0.308  |  0.164  |  0.316  |  0.300  
  0.354  |  0.167  |  0.354  |  0.354  
  0.323  |  0.171  |  0.323  |  0.323  
  0.339  |  0.174  |  0.346  |  0.331  
  0.339  |  0.177  |  0.339  |  0.339  
  0.354  |  0.181  |  0.354  |  0.354  
  0.308  |  0.184  |  0.308  |  0.308  
  0.339  |  0.187  |  0.331  |  0.346  
  0.323  |  0.191  |  0.331  |  0.316  
  0.339  |  0.194  |  0.346  |  0.331  
  0.323  |  0.197  |  0.331  |  0.316  
  0.339  |  0.201  |  0.331  |  0.346  
