CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.062  |  0.001  |  0.062  |  0.062  
  0.123  |  0.002  |  0.123  |  0.123  
 -0.123  |  0.001  | -0.123  | -0.123  
 -0.185  | -0.001  | -0.185  | -0.185  
  0.015  | -0.001  |  0.015  |  0.015  
  0.139  |  0.000  |  0.131  |  0.146  
 -0.416  | -0.003  | -0.416  | -0.415  
 -0.015  | -0.004  | -0.015  | -0.015  
  0.062  | -0.003  |  0.062  |  0.062  
 -0.169  | -0.005  | -0.169  | -0.169  
 -0.216  | -0.007  | -0.216  | -0.215  
  0.000  | -0.007  | -0.000  |  0.000  
  0.139  | -0.005  |  0.139  |  0.138  
  0.046  | -0.005  |  0.038  |  0.054  
 -0.169  | -0.007  | -0.169  | -0.169  
  0.000  | -0.007  | -0.000  |  0.000  
  0.154  | -0.005  |  0.154  |  0.154  
  0.015  | -0.005  |  0.008  |  0.023  
 -0.108  | -0.006  | -0.115  | -0.100  
 -0.062  | -0.007  | -0.069  | -0.054  
  0.092  | -0.006  |  0.093  |  0.092  
  0.062  | -0.005  |  0.069  |  0.054  
 -0.015  | -0.005  | -0.016  | -0.014  
 -0.046  | -0.006  | -0.047  | -0.046  
  0.015  | -0.006  |  0.017  |  0.014  
  0.062  | -0.005  |  0.060  |  0.063  
  0.031  | -0.005  |  0.032  |  0.030  
 -0.015  | -0.005  | -0.017  | -0.014  
  0.000  | -0.005  |  0.000  | -0.000  
  0.092  | -0.004  |  0.092  |  0.093  
  0.077  | -0.003  |  0.077  |  0.077  
  0.000  | -0.003  | -0.000  |  0.000  
  0.000  | -0.003  |  0.000  |  0.000  
  0.092  | -0.002  |  0.092  |  0.092  
  0.108  | -0.001  |  0.100  |  0.115  
  0.031  | -0.001  |  0.023  |  0.038  
  0.015  | -0.001  |  0.023  |  0.008  
  0.092  |  0.000  |  0.100  |  0.085  
  0.123  |  0.002  |  0.123  |  0.124  
  0.092  |  0.002  |  0.092  |  0.092  
  0.031  |  0.003  |  0.030  |  0.031  
  0.062  |  0.003  |  0.061  |  0.062  
  0.154  |  0.005  |  0.154  |  0.154  
  0.123  |  0.006  |  0.115  |  0.131  
  0.062  |  0.007  |  0.054  |  0.069  
  0.139  |  0.009  |  0.146  |  0.131  
  0.185  |  0.011  |  0.185  |  0.185  
  0.108  |  0.012  |  0.108  |  0.108  
  0.046  |  0.012  |  0.046  |  0.047  
  0.123  |  0.013  |  0.115  |  0.131  
  0.216  |  0.016  |  0.215  |  0.216  
  0.169  |  0.017  |  0.169  |  0.169  
  0.062  |  0.018  |  0.069  |  0.054  
  0.077  |  0.019  |  0.069  |  0.085  
  0.216  |  0.021  |  0.215  |  0.216  
  0.216  |  0.023  |  0.208  |  0.223  
  0.123  |  0.024  |  0.115  |  0.131  
  0.092  |  0.025  |  0.100  |  0.085  
  0.185  |  0.027  |  0.185  |  0.185  
