CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.369  |  0.018  |  0.369  |  0.370  
  0.391  |  0.038  |  0.391  |  0.391  
  0.468  |  0.061  |  0.468  |  0.468  
  0.791  |  0.101  |  0.791  |  0.791  
  0.853  |  0.144  |  0.853  |  0.853  
  0.877  |  0.187  |  0.877  |  0.878  
  0.877  |  0.231  |  0.877  |  0.878  
  0.770  |  0.270  |  0.770  |  0.770  
  0.687  |  0.304  |  0.686  |  0.687  
  0.622  |  0.335  |  0.622  |  0.622  
  0.582  |  0.364  |  0.582  |  0.582  
  0.603  |  0.395  |  0.603  |  0.604  
  0.643  |  0.427  |  0.643  |  0.644  
  0.693  |  0.461  |  0.693  |  0.693  
  0.739  |  0.498  |  0.739  |  0.739  
  0.767  |  0.537  |  0.766  |  0.767  
  0.757  |  0.574  |  0.757  |  0.757  
  0.745  |  0.612  |  0.745  |  0.745  
  0.714  |  0.647  |  0.714  |  0.714  
  0.680  |  0.681  |  0.680  |  0.680  
  0.665  |  0.715  |  0.665  |  0.665  
  0.662  |  0.748  |  0.662  |  0.662  
  0.668  |  0.781  |  0.668  |  0.668  
  0.708  |  0.851  |  0.708  |  0.708  
  0.724  |  0.887  |  0.723  |  0.724  
  0.720  |  0.923  |  0.720  |  0.721  
  0.724  |  0.959  |  0.723  |  0.724  
  0.702  |  0.995  |  0.702  |  0.702  
  0.705  |  1.030  |  0.705  |  0.705  
  0.687  |  1.064  |  0.686  |  0.687  
  0.683  |  1.098  |  0.683  |  0.684  
  0.690  |  1.133  |  0.690  |  0.690  
  0.693  |  1.167  |  0.693  |  0.693  
  0.705  |  1.203  |  0.705  |  0.705  
  0.705  |  1.238  |  0.705  |  0.705  
  0.705  |  1.273  |  0.705  |  0.705  
  0.708  |  1.309  |  0.708  |  0.708  
  0.705  |  1.344  |  0.705  |  0.705  
  0.699  |  1.379  |  0.699  |  0.699  
  0.702  |  1.414  |  0.702  |  0.702  
  0.690  |  1.448  |  0.689  |  0.690  
  0.699  |  1.483  |  0.699  |  0.699  
  0.696  |  1.518  |  0.696  |  0.696  
  0.702  |  1.553  |  0.702  |  0.702  
  0.705  |  1.588  |  0.705  |  0.705  
  0.696  |  1.623  |  0.696  |  0.696  
  0.705  |  1.659  |  0.705  |  0.705  
  0.702  |  1.694  |  0.702  |  0.702  
  0.699  |  1.729  |  0.699  |  0.699  
  0.702  |  1.764  |  0.702  |  0.702  
  0.693  |  1.798  |  0.693  |  0.693  
  0.699  |  1.833  |  0.699  |  0.699  
  0.699  |  1.868  |  0.699  |  0.699  
  0.702  |  1.903  |  0.702  |  0.702  
  0.702  |  1.938  |  0.702  |  0.702  
  0.699  |  1.973  |  0.699  |  0.699  
  0.702  |  2.008  |  0.702  |  0.702  
  0.702  |  2.043  |  0.702  |  0.702  
  0.699  |  2.078  |  0.699  |  0.699  
