CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.105  |  0.005  |  0.106  |  0.103  
  0.459  |  0.028  |  0.459  |  0.459  
  0.764  |  0.066  |  0.763  |  0.764  
  0.884  |  0.111  |  0.883  |  0.884  
  0.896  |  0.155  |  0.896  |  0.896  
  0.800  |  0.195  |  0.800  |  0.801  
  0.665  |  0.229  |  0.665  |  0.665  
  0.545  |  0.256  |  0.545  |  0.545  
  0.526  |  0.282  |  0.526  |  0.527  
  0.600  |  0.312  |  0.602  |  0.599  
  0.727  |  0.349  |  0.727  |  0.727  
  0.825  |  0.390  |  0.825  |  0.825  
  0.853  |  0.432  |  0.853  |  0.853  
  0.794  |  0.472  |  0.794  |  0.794  
  0.693  |  0.507  |  0.693  |  0.693  
  0.594  |  0.536  |  0.594  |  0.594  
  0.566  |  0.565  |  0.566  |  0.567  
  0.613  |  0.595  |  0.614  |  0.611  
  0.699  |  0.630  |  0.699  |  0.699  
  0.782  |  0.669  |  0.782  |  0.782  
  0.810  |  0.710  |  0.811  |  0.808  
  0.785  |  0.749  |  0.787  |  0.784  
  0.714  |  0.785  |  0.714  |  0.714  
  0.640  |  0.817  |  0.640  |  0.640  
  0.600  |  0.847  |  0.599  |  0.602  
  0.619  |  0.878  |  0.619  |  0.619  
  0.683  |  0.912  |  0.682  |  0.685  
  0.751  |  0.950  |  0.750  |  0.753  
  0.779  |  0.989  |  0.780  |  0.777  
  0.773  |  1.027  |  0.772  |  0.773  
  0.724  |  1.063  |  0.725  |  0.722  
  0.665  |  1.097  |  0.667  |  0.663  
  0.634  |  1.128  |  0.634  |  0.634  
  0.631  |  1.160  |  0.630  |  0.633  
  0.677  |  1.194  |  0.676  |  0.679  
  0.720  |  1.230  |  0.720  |  0.720  
  0.757  |  1.268  |  0.759  |  0.756  
  0.757  |  1.306  |  0.759  |  0.756  
  0.730  |  1.342  |  0.730  |  0.730  
  0.687  |  1.376  |  0.685  |  0.688  
  0.653  |  1.409  |  0.651  |  0.654  
  0.650  |  1.441  |  0.648  |  0.651  
  0.671  |  1.475  |  0.673  |  0.670  
  0.702  |  1.510  |  0.702  |  0.702  
  0.739  |  1.547  |  0.740  |  0.737  
  0.742  |  1.584  |  0.742  |  0.742  
  0.739  |  1.621  |  0.739  |  0.739  
  0.702  |  1.656  |  0.703  |  0.700  
  0.668  |  1.690  |  0.667  |  0.670  
  0.656  |  1.722  |  0.654  |  0.657  
  0.662  |  1.755  |  0.660  |  0.663  
  0.702  |  1.791  |  0.702  |  0.702  
  0.730  |  1.827  |  0.731  |  0.728  
  0.736  |  1.864  |  0.736  |  0.736  
  0.733  |  1.900  |  0.733  |  0.733  
  0.702  |  1.936  |  0.703  |  0.700  
  0.680  |  1.970  |  0.680  |  0.681  
  0.668  |  2.003  |  0.668  |  0.668  
  0.671  |  2.037  |  0.671  |  0.671  
  0.690  |  2.071  |  0.691  |  0.688  
