CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.000  |  0.000  |  0.000  |  0.000  
  0.265  |  0.013  |  0.265  |  0.265  
  0.459  |  0.036  |  0.459  |  0.459  
  0.373  |  0.055  |  0.372  |  0.373  
  0.336  |  0.072  |  0.335  |  0.336  
  0.379  |  0.091  |  0.379  |  0.379  
  0.397  |  0.110  |  0.397  |  0.397  
  0.388  |  0.130  |  0.388  |  0.388  
  0.403  |  0.150  |  0.403  |  0.403  
  0.413  |  0.171  |  0.412  |  0.413  
  0.416  |  0.191  |  0.415  |  0.416  
  0.428  |  0.213  |  0.428  |  0.428  
  0.437  |  0.256  |  0.437  |  0.437  
  0.446  |  0.278  |  0.446  |  0.447  
  0.456  |  0.301  |  0.456  |  0.456  
  0.459  |  0.324  |  0.459  |  0.459  
  0.456  |  0.347  |  0.456  |  0.456  
  0.474  |  0.371  |  0.474  |  0.474  
  0.483  |  0.395  |  0.483  |  0.483  
  0.477  |  0.419  |  0.477  |  0.477  
  0.490  |  0.443  |  0.489  |  0.490  
  0.490  |  0.468  |  0.489  |  0.490  
  0.505  |  0.493  |  0.505  |  0.505  
  0.502  |  0.518  |  0.502  |  0.502  
  0.508  |  0.543  |  0.508  |  0.508  
  0.514  |  0.569  |  0.514  |  0.514  
  0.517  |  0.595  |  0.517  |  0.517  
  0.526  |  0.621  |  0.526  |  0.527  
  0.526  |  0.648  |  0.526  |  0.527  
  0.533  |  0.674  |  0.532  |  0.533  
  0.539  |  0.701  |  0.539  |  0.539  
  0.545  |  0.728  |  0.545  |  0.545  
  0.539  |  0.755  |  0.539  |  0.539  
  0.551  |  0.783  |  0.551  |  0.551  
  0.554  |  0.811  |  0.554  |  0.554  
  0.560  |  0.839  |  0.560  |  0.560  
  0.557  |  0.867  |  0.557  |  0.557  
  0.563  |  0.895  |  0.563  |  0.564  
  0.573  |  0.923  |  0.573  |  0.573  
  0.570  |  0.952  |  0.569  |  0.570  
  0.573  |  0.980  |  0.573  |  0.573  
  0.579  |  1.009  |  0.579  |  0.579  
  0.582  |  1.038  |  0.582  |  0.582  
  0.585  |  1.068  |  0.585  |  0.585  
  0.585  |  1.097  |  0.585  |  0.585  
  0.597  |  1.127  |  0.597  |  0.597  
  0.585  |  1.156  |  0.585  |  0.585  
  0.597  |  1.186  |  0.597  |  0.597  
  0.600  |  1.216  |  0.600  |  0.601  
  0.600  |  1.246  |  0.600  |  0.600  
  0.603  |  1.276  |  0.603  |  0.603  
  0.600  |  1.306  |  0.600  |  0.600  
  0.622  |  1.337  |  0.622  |  0.622  
  0.600  |  1.367  |  0.600  |  0.600  
  0.610  |  1.398  |  0.609  |  0.610  
  0.619  |  1.429  |  0.619  |  0.619  
  0.616  |  1.459  |  0.616  |  0.616  
  0.622  |  1.491  |  0.622  |  0.622  
  0.622  |  1.522  |  0.622  |  0.622  
  0.622  |  1.553  |  0.622  |  0.622  
