CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |  0.000  |  0.000  
  0.111  |  0.006  |  0.109  |  0.112  
  0.486  |  0.030  |  0.486  |  0.486  
  0.797  |  0.070  |  0.797  |  0.798  
  0.921  |  0.116  |  0.920  |  0.921  
  0.921  |  0.162  |  0.920  |  0.921  
  0.804  |  0.202  |  0.804  |  0.804  
  0.616  |  0.233  |  0.616  |  0.616  
  0.496  |  0.258  |  0.495  |  0.496  
  0.493  |  0.282  |  0.492  |  0.493  
  0.619  |  0.313  |  0.619  |  0.619  
  0.773  |  0.352  |  0.773  |  0.773  
  0.877  |  0.396  |  0.877  |  0.878  
  0.868  |  0.439  |  0.868  |  0.868  
  0.800  |  0.479  |  0.800  |  0.801  
  0.640  |  0.511  |  0.640  |  0.640  
  0.539  |  0.538  |  0.539  |  0.539  
  0.533  |  0.565  |  0.533  |  0.533  
  0.628  |  0.596  |  0.628  |  0.628  
  0.748  |  0.633  |  0.748  |  0.748  
  0.831  |  0.675  |  0.831  |  0.831  
  0.853  |  0.718  |  0.853  |  0.853  
  0.776  |  0.756  |  0.776  |  0.776  
  0.665  |  0.790  |  0.665  |  0.665  
  0.576  |  0.818  |  0.576  |  0.576  
  0.566  |  0.847  |  0.566  |  0.567  
  0.637  |  0.879  |  0.637  |  0.637  
  0.720  |  0.915  |  0.720  |  0.721  
  0.804  |  0.955  |  0.803  |  0.804  
  0.813  |  0.996  |  0.813  |  0.813  
  0.776  |  1.034  |  0.776  |  0.776  
  0.683  |  1.068  |  0.683  |  0.684  
  0.607  |  1.099  |  0.606  |  0.607  
  0.594  |  1.129  |  0.594  |  0.594  
  0.640  |  1.161  |  0.640  |  0.641  
  0.705  |  1.196  |  0.705  |  0.705  
  0.782  |  1.235  |  0.782  |  0.782  
  0.791  |  1.274  |  0.791  |  0.791  
  0.760  |  1.312  |  0.760  |  0.760  
  0.699  |  1.347  |  0.699  |  0.699  
  0.628  |  1.379  |  0.628  |  0.628  
  0.619  |  1.410  |  0.619  |  0.619  
  0.637  |  1.442  |  0.637  |  0.637  
  0.714  |  1.477  |  0.714  |  0.714  
  0.754  |  1.515  |  0.754  |  0.754  
  0.770  |  1.554  |  0.770  |  0.770  
  0.754  |  1.591  |  0.754  |  0.754  
  0.699  |  1.626  |  0.699  |  0.699  
  0.650  |  1.659  |  0.650  |  0.650  
  0.634  |  1.690  |  0.634  |  0.634  
  0.662  |  1.723  |  0.662  |  0.662  
  0.693  |  1.758  |  0.693  |  0.693  
  0.745  |  1.795  |  0.745  |  0.745  
  0.751  |  1.833  |  0.751  |  0.751  
  0.745  |  1.870  |  0.745  |  0.745  
  0.696  |  1.905  |  0.696  |  0.696  
  0.671  |  1.939  |  0.671  |  0.671  
  0.656  |  1.971  |  0.656  |  0.656  
  0.659  |  2.004  |  0.659  |  0.659  
  0.693  |  2.039  |  0.693  |  0.693  
  0.739  |  2.076  |  0.739  |  0.739  
  0.733  |  2.112  |  0.733  |  0.733  
  0.736  |  2.149  |  0.736  |  0.736  
  0.702  |  2.184  |  0.702  |  0.702  
  0.677  |  2.218  |  0.677  |  0.677  
  0.665  |  2.251  |  0.665  |  0.665  
  0.671  |  2.285  |  0.671  |  0.671  
  0.693  |  2.320  |  0.693  |  0.693  
  0.717  |  2.356  |  0.717  |  0.717  
  0.733  |  2.392  |  0.733  |  0.733  
  0.730  |  2.429  |  0.730  |  0.730  
  0.705  |  2.464  |  0.705  |  0.705  
  0.687  |  2.498  |  0.686  |  0.687  
  0.674  |  2.532  |  0.674  |  0.674  
  0.671  |  2.565  |  0.671  |  0.671  
  0.696  |  2.600  |  0.696  |  0.696  
  0.705  |  2.636  |  0.705  |  0.705  
  0.730  |  2.672  |  0.730  |  0.730  
  0.717  |  2.708  |  0.717  |  0.717  
  0.714  |  2.744  |  0.714  |  0.714  
  0.687  |  2.778  |  0.687  |  0.687  
  0.677  |  2.812  |  0.677  |  0.677  
  0.680  |  2.846  |  0.680  |  0.681  
  0.696  |  2.881  |  0.696  |  0.696  
  0.711  |  2.916  |  0.711  |  0.711  
  0.724  |  2.952  |  0.723  |  0.724  
  0.711  |  2.988  |  0.711  |  0.711  
  0.705  |  3.023  |  0.705  |  0.705  
  0.690  |  3.058  |  0.690  |  0.690  
  0.690  |  3.092  |  0.690  |  0.690  
  0.687  |  3.126  |  0.686  |  0.687  
  0.687  |  3.161  |  0.686  |  0.687  
  0.708  |  3.196  |  0.708  |  0.708  
  0.714  |  3.232  |  0.714  |  0.714  
  0.711  |  3.267  |  0.711  |  0.711  
  0.705  |  3.303  |  0.705  |  0.705  
  0.699  |  3.338  |  0.699  |  0.699  
  0.690  |  3.372  |  0.690  |  0.690  
  0.696  |  3.407  |  0.696  |  0.696  
  0.687  |  3.441  |  0.686  |  0.687  
  0.699  |  3.476  |  0.699  |  0.699  
  0.711  |  3.512  |  0.711  |  0.711  
  0.702  |  3.547  |  0.702  |  0.702  
  0.711  |  3.582  |  0.711  |  0.711  
  0.705  |  3.618  |  0.705  |  0.705  
  0.702  |  3.653  |  0.702  |  0.702  
  0.690  |  3.687  |  0.690  |  0.690  
  0.683  |  3.721  |  0.683  |  0.684  
  0.690  |  3.756  |  0.690  |  0.690  
  0.714  |  3.792  |  0.714  |  0.714  
  0.711  |  3.827  |  0.711  |  0.711  
  0.711  |  3.863  |  0.711  |  0.711  
  0.702  |  3.898  |  0.702  |  0.702  
  0.696  |  3.933  |  0.696  |  0.696  
  0.687  |  4.001  |  0.686  |  0.687  
  0.702  |  4.036  |  0.702  |  0.702  
  0.711  |  4.072  |  0.711  |  0.711  
  0.711  |  4.107  |  0.711  |  0.711  
  0.702  |  4.143  |  0.702  |  0.702  
  0.696  |  4.177  |  0.696  |  0.696  
  0.699  |  4.212  |  0.699  |  0.699  
  0.690  |  4.247  |  0.690  |  0.690  
  0.699  |  4.282  |  0.699  |  0.699  
  0.696  |  4.316  |  0.696  |  0.696  
  0.708  |  4.352  |  0.708  |  0.708  
  0.714  |  4.388  |  0.714  |  0.714  
  0.690  |  4.422  |  0.690  |  0.690  
  0.699  |  4.457  |  0.699  |  0.699  
  0.696  |  4.492  |  0.696  |  0.696  
  0.699  |  4.527  |  0.699  |  0.699  
  0.708  |  4.562  |  0.708  |  0.708  
  0.699  |  4.597  |  0.699  |  0.699  
  0.705  |  4.632  |  0.705  |  0.705  
  0.693  |  4.667  |  0.693  |  0.693  
  0.702  |  4.702  |  0.702  |  0.702  
  0.702  |  4.737  |  0.702  |  0.702  
  0.690  |  4.772  |  0.690  |  0.690  
  0.699  |  4.807  |  0.699  |  0.699  
  0.708  |  4.842  |  0.708  |  0.708  
  0.705  |  4.877  |  0.705  |  0.705  
  0.708  |  4.913  |  0.708  |  0.708  
  0.690  |  4.947  |  0.690  |  0.690  
  0.693  |  4.982  |  0.693  |  0.693  
  0.702  |  5.017  |  0.702  |  0.702  
  0.702  |  5.052  |  0.702  |  0.702  
  0.699  |  5.087  |  0.699  |  0.699  
  0.699  |  5.122  |  0.699  |  0.699  
  0.705  |  5.157  |  0.705  |  0.705  
  0.699  |  5.192  |  0.699  |  0.699  
  0.699  |  5.227  |  0.699  |  0.699  
  0.699  |  5.262  |  0.699  |  0.699  
  0.702  |  5.297  |  0.702  |  0.702  
  0.696  |  5.332  |  0.696  |  0.696  
  0.705  |  5.367  |  0.705  |  0.705  
  0.699  |  5.402  |  0.699  |  0.699  
  0.705  |  5.437  |  0.705  |  0.705  
  0.699  |  5.472  |  0.699  |  0.699  
  0.696  |  5.507  |  0.696  |  0.696  
  0.699  |  5.542  |  0.699  |  0.699  
  0.693  |  5.577  |  0.693  |  0.693  
  0.702  |  5.612  |  0.702  |  0.702  
  0.705  |  5.647  |  0.705  |  0.705  
  0.705  |  5.682  |  0.705  |  0.705  
  0.711  |  5.718  |  0.711  |  0.711  
  0.696  |  5.753  |  0.696  |  0.696  
  0.690  |  5.787  |  0.690  |  0.690  
  0.696  |  5.822  |  0.696  |  0.696  
  0.696  |  5.857  |  0.696  |  0.696  
  0.702  |  5.892  |  0.702  |  0.702  
  0.699  |  5.927  |  0.699  |  0.699  
  0.705  |  5.962  |  0.705  |  0.705  
  0.708  |  5.997  |  0.708  |  0.708  
  0.702  |  6.032  |  0.702  |  0.702  
  0.699  |  6.067  |  0.699  |  0.699  
  0.699  |  6.102  |  0.699  |  0.699  
  0.696  |  6.137  |  0.696  |  0.696  
  0.702  |  6.172  |  0.702  |  0.702  
  0.693  |  6.207  |  0.693  |  0.693  
  0.699  |  6.242  |  0.699  |  0.699  
  0.702  |  6.277  |  0.702  |  0.702  
  0.708  |  6.312  |  0.708  |  0.708  
  0.702  |  6.347  |  0.702  |  0.702  
  0.696  |  6.382  |  0.696  |  0.696  
  0.699  |  6.417  |  0.699  |  0.699  
  0.702  |  6.452  |  0.702  |  0.702  
  0.696  |  6.487  |  0.696  |  0.696  
  0.705  |  6.522  |  0.705  |  0.705  
  0.696  |  6.557  |  0.696  |  0.696  
  0.699  |  6.592  |  0.699  |  0.699  
  0.702  |  6.627  |  0.702  |  0.702  
  0.705  |  6.662  |  0.705  |  0.705  
  0.696  |  6.697  |  0.696  |  0.696  
  0.699  |  6.732  |  0.699  |  0.699  
  0.696  |  6.767  |  0.696  |  0.696  
  0.699  |  6.802  |  0.699  |  0.699  
  0.699  |  6.837  |  0.699  |  0.699  
  0.705  |  6.872  |  0.705  |  0.705  
  0.705  |  6.907  |  0.705  |  0.705  
  0.705  |  6.942  |  0.705  |  0.705  
  0.705  |  6.978  |  0.705  |  0.705  
  0.582  |  7.007  |  0.582  |  0.582  
  0.166  |  7.015  |  0.166  |  0.166  
 -0.317  |  6.999  | -0.317  | -0.317  
 -0.539  |  6.972  | -0.537  | -0.540  
 -0.425  |  6.951  | -0.425  | -0.425  
 -0.049  |  6.949  | -0.049  | -0.049  
  0.302  |  6.964  |  0.302  |  0.302  
  0.431  |  6.985  |  0.431  |  0.431  
  0.277  |  6.999  |  0.277  |  0.277  
 -0.049  |  6.997  | -0.049  | -0.049  
 -0.277  |  6.983  | -0.277  | -0.277  
 -0.314  |  6.967  | -0.314  | -0.314  
 -0.142  |  6.960  | -0.142  | -0.142  
  0.089  |  6.964  |  0.089  |  0.089  
  0.228  |  6.976  |  0.228  |  0.228  
  0.206  |  6.986  |  0.206  |  0.206  
  0.052  |  6.989  |  0.052  |  0.052  
 -0.095  |  6.984  | -0.096  | -0.095  
