CPU Frequency: 1000mhz
starting lcm thread... 
starting setpoint thread... 
starting print thread... 
initializing imu... 
initializing controller...
initializing motors...
initializing odometry...
attaching imu interupt...
we are running!!!

RUNNING...
SENSORS | ODOMETRY |
  X_DOT  |    X    |
  0.000  |  0.000  |
  0.000  |  0.000  |
  0.038  |  0.057  |
  0.049  |  0.199  |
  0.049  |  0.298  |
  0.050  |  0.398  |
  0.049  |  0.498  |
  0.050  |  0.597  |
  0.050  |  0.697  |
  0.050  |  0.798  |
  0.050  |  0.898  |
  0.050  |  0.998  |
  0.051  |  1.098  |
  0.050  |  1.198  |
  0.050  |  1.299  |
  0.051  |  1.400  |
  0.050  |  1.500  |
  0.050  |  1.600  |
  0.050  |  1.701  |
  0.051  |  1.802  |
  0.050  |  1.902  |
  0.050  |  2.003  |
  0.050  |  2.103  |
  0.050  |  2.204  |
  0.050  |  2.305  |
  0.050  |  2.405  |
  0.050  |  2.506  |
  0.050  |  2.607  |
  0.050  |  2.708  |
  0.050  |  2.808  |
  0.050  |  2.909  |
  0.050  |  3.010  |
  0.050  |  3.111  |
  0.051  |  3.212  |
  0.050  |  3.313  |
  0.051  |  3.414  |
  0.050  |  3.515  |
  0.050  |  3.616  |
  0.050  |  3.717  |
  0.051  |  3.817  |
  0.051  |  3.918  |
  0.051  |  4.020  |
  0.050  |  4.120  |
  0.051  |  4.222  |
  0.051  |  4.323  |
  0.051  |  4.424  |
  0.050  |  4.525  |
  0.050  |  4.626  |
  0.051  |  4.728  |
  0.051  |  4.829  |
  0.050  |  4.929  |
  0.050  |  5.030  |
  0.050  |  5.132  |
  0.050  |  5.233  |
  0.050  |  5.334  |
  0.050  |  5.435  |
  0.050  |  5.536  |
  0.050  |  5.638  |
  0.051  |  5.739  |
  0.051  |  5.840  |
  0.051  |  5.942  |
  0.051  |  6.043  |
  0.050  |  6.144  |
  0.051  |  6.245  |
  0.050  |  6.346  |
  0.051  |  6.448  |
  0.051  |  6.549  |
  0.050  |  6.650  |
  0.051  |  6.752  |
  0.051  |  6.853  |
  0.051  |  6.955  |
  0.050  |  7.056  |
  0.050  |  7.157  |
  0.050  |  7.259  |
  0.050  |  7.360  |
  0.051  |  7.461  |
  0.051  |  7.563  |
  0.050  |  7.664  |
  0.050  |  7.765  |
  0.051  |  7.867  |
  0.051  |  7.968  |
  0.050  |  8.069  |
  0.050  |  8.171  |
  0.051  |  8.272  |
  0.051  |  8.374  |
  0.051  |  8.475  |
  0.051  |  8.577  |
  0.050  |  8.677  |
  0.051  |  8.779  |
  0.051  |  8.880  |
  0.051  |  8.982  |
  0.051  |  9.083  |
  0.051  |  9.184  |
  0.051  |  9.286  |
  0.051  |  9.387  |
  0.051  |  9.489  |
  0.051  |  9.590  |
  0.050  |  9.691  |
  0.051  |  9.793  |
  0.050  |  9.895  |
  0.051  |  9.997  |
  0.051  | 10.098  |
  0.051  | 10.199  |
  0.050  | 10.301  |
  0.050  | 10.402  |
  0.050  | 10.504  |
  0.050  | 10.606  |
  0.051  | 10.707  |
  0.051  | 10.809  |
  0.051  | 10.911  |
  0.051  | 11.063  |
  0.051  | 11.165  |
  0.051  | 11.267  |
  0.050  | 11.368  |
  0.050  | 11.470  |
  0.051  | 11.572  |
  0.051  | 11.673  |
  0.050  | 11.775  |
  0.050  | 11.876  |
  0.050  | 11.978  |
  0.051  | 12.080  |
  0.051  | 12.182  |

received SIGINT Ctrl-C

received SIGINT Ctrl-C
